ISSUE_ID,STREAM_NAME,RELEASE,WORK_ITEM_ID,WORK_ITEM_STATUS,COMMIT_ID,CHECK_IN_DATE
1076,Platform-IntegrationService,2.0.0.2000,280823,In Review,,
1077,Platform-IntegrationService,2.0.0.2000,213586,Active,,
1078,APP-UI-UX,3.0.0.3000,284936,In Review,,
1079,APP-UI-UX,3.0.0.3000,237970,In Review,,
1080,Platform-ServiceFramework,1.0.0.1000,283611,New,,
1081,Platform-IntegrationService,2.0.0.2000,277117,Completed,e1q0y7z6,8/4/25 2:42
1082,APP-UI-UX,3.0.0.3000,280174,In Review,,
1083,Platform-ServiceFramework,1.0.0.1000,239785,Checked in,u2l4h9c2,6/8/25 15:05
1084,APP-Analytics,4.0.0.4000,294792,Checked in,s3e8v7o4,4/24/25 10:52
1085,APP-Analytics,4.0.0.4000,292908,Active,,
1086,Platform-IntegrationService,2.0.0.2000,210807,New,,
1087,Platform-ServiceFramework,1.0.0.1000,238767,Active,,
1088,Platform-IntegrationService,2.0.0.2000,205046,New,,
1089,Platform-IntegrationService,2.0.0.2000,293797,New,,
1090,APP-UI-UX,3.0.0.3000,249350,Checked in,l4o7y2a5,8/2/25 1:15
1091,Platform-IntegrationService,2.0.0.2000,278865,Checked in,h6v4g4o0,1/30/25 21:55
1092,Platform-IntegrationService,2.0.0.2000,285418,Completed,u4b1t0d5,4/3/25 20:40
1093,Platform-ServiceFramework,1.0.0.1000,265137,In Review,,
1094,APP-UI-UX,3.0.0.3000,229906,New,,
1095,APP-Analytics,4.0.0.4000,241887,Active,,
1096,Platform-ServiceFramework,1.0.0.1000,289947,Active,,
1097,APP-UI-UX,3.0.0.3000,202333,Checked in,m0c1p8t0,2/4/25 12:04
1098,Platform-IntegrationService,2.0.0.2000,232307,In Review,,
1099,APP-UI-UX,3.0.0.3000,288990,Checked in,m0j8p1v1,5/9/25 23:25
1100,Platform-ServiceFramework,1.0.0.1000,239597,Active,,
1101,APP-Analytics,4.0.0.4000,255736,Completed,e1n9u9d9,2/12/25 20:52
1102,APP-Analytics,4.0.0.4000,285582,New,,
1103,Platform-IntegrationService,2.0.0.2000,243576,Completed,i8f9r1w0,5/25/25 16:30
1104,APP-Analytics,4.0.0.4000,224652,New,,
1105,Platform-ServiceFramework,1.0.0.1000,240972,Checked in,r8m4h2t7,9/3/25 5:20
1106,APP-Analytics,4.0.0.4000,295163,Active,,
1107,Platform-IntegrationService,2.0.0.2000,226569,Active,,
1108,Platform-IntegrationService,2.0.0.2000,232860,Completed,o4y5j9n8,5/27/25 16:12
1109,Platform-IntegrationService,2.0.0.2000,292691,Checked in,p1s9o3t6,8/12/25 16:08
1110,Platform-ServiceFramework,1.0.0.1000,231580,New,,
1111,Platform-ServiceFramework,1.0.0.1000,241856,New,,
1112,Platform-IntegrationService,2.0.0.2000,220640,Completed,t3w0c4f3,3/29/25 23:59
1113,APP-Analytics,4.0.0.4000,290265,In Review,,
1114,Platform-ServiceFramework,1.0.0.1000,222888,Active,,
1115,Platform-IntegrationService,2.0.0.2000,264625,In Review,,
1116,APP-Analytics,4.0.0.4000,214405,New,,
1117,Platform-IntegrationService,2.0.0.2000,258079,Active,,
1118,Platform-IntegrationService,2.0.0.2000,221168,Completed,x9d3v8t3,10/7/25 3:30
1119,APP-UI-UX,3.0.0.3000,273388,Completed,q9d0z8e1,8/1/25 23:31
1120,Platform-ServiceFramework,1.0.0.1000,247610,In Review,,
1121,Platform-IntegrationService,2.0.0.2000,238404,Completed,e9r2c9c0,6/14/25 5:53
1122,APP-UI-UX,3.0.0.3000,273474,Active,,
1123,Platform-IntegrationService,2.0.0.2000,245993,Checked in,j2v4w6f0,9/22/25 10:15
1124,Platform-IntegrationService,2.0.0.2000,275208,Checked in,j4y6e0t7,3/12/25 6:15
1125,Platform-IntegrationService,2.0.0.2000,224020,Checked in,p6a6p8v6,10/8/25 2:58
1126,APP-UI-UX,3.0.0.3000,278860,Completed,q7g8u6o2,1/24/25 12:13
1127,Platform-IntegrationService,2.0.0.2000,246972,New,,
1128,APP-UI-UX,3.0.0.3000,277468,Completed,w4h5u0s9,6/8/25 14:13
1129,Platform-IntegrationService,2.0.0.2000,293789,Checked in,j3l7r7r3,3/5/25 8:23
1130,Platform-ServiceFramework,1.0.0.1000,202817,Completed,y4n9u9z7,4/28/25 6:52
1131,Platform-IntegrationService,2.0.0.2000,275972,In Review,,
1132,APP-UI-UX,3.0.0.3000,202963,Checked in,s7q1e2g5,2/21/25 6:32
1133,Platform-IntegrationService,2.0.0.2000,250251,Active,,
1134,Platform-IntegrationService,2.0.0.2000,284165,Checked in,q8w9t7s5,10/6/25 8:28
1135,Platform-ServiceFramework,1.0.0.1000,286580,In Review,,
1136,Platform-IntegrationService,2.0.0.2000,281895,Completed,p1r2r4n2,7/30/25 13:05
1137,APP-Analytics,4.0.0.4000,249295,Completed,y1i6g0m8,9/12/25 23:39
1138,Platform-ServiceFramework,1.0.0.1000,206188,Active,,
1139,Platform-IntegrationService,2.0.0.2000,266947,Checked in,z7n6q9d7,5/20/25 8:49
1140,Platform-IntegrationService,2.0.0.2000,279830,Completed,l5x7p0m0,5/1/25 15:12
1141,Platform-IntegrationService,2.0.0.2000,233444,Completed,u8u0x6d7,4/24/25 2:59
1142,Platform-IntegrationService,2.0.0.2000,253913,Completed,n8c5b1b1,6/2/25 6:48
1143,APP-UI-UX,3.0.0.3000,283033,Completed,k0b7e7y8,4/7/25 12:42
1144,APP-Analytics,4.0.0.4000,285277,Active,,
1145,Platform-ServiceFramework,1.0.0.1000,232172,Active,,
1146,Platform-ServiceFramework,1.0.0.1000,281094,Checked in,f5v2n7a8,4/10/25 11:59
1147,APP-Analytics,4.0.0.4000,293423,New,,
1148,Platform-IntegrationService,2.0.0.2000,269451,New,,
1149,Platform-ServiceFramework,1.0.0.1000,264919,Checked in,l5h7h0j8,1/14/25 0:33
1150,Platform-ServiceFramework,1.0.0.1000,218273,Completed,x5s0d1w3,2/20/25 12:19
1151,APP-UI-UX,3.0.0.3000,201426,New,,
1152,Platform-ServiceFramework,1.0.0.1000,265111,Checked in,t2e2l9m8,1/6/25 1:12
1153,Platform-IntegrationService,2.0.0.2000,286580,Active,,
1154,APP-Analytics,4.0.0.4000,223651,Completed,n0n7z9m6,4/22/25 11:23
1155,APP-Analytics,4.0.0.4000,225037,Completed,v2i4f3j0,10/10/25 14:59
1156,Platform-IntegrationService,2.0.0.2000,298869,Completed,k2u1u9x1,1/30/25 12:07
1157,Platform-ServiceFramework,1.0.0.1000,260058,Completed,l2b4m5q3,5/27/25 10:37
1158,Platform-IntegrationService,2.0.0.2000,274026,Completed,v6f4v0x4,9/23/25 22:20
1159,APP-Analytics,4.0.0.4000,289133,Completed,h6d2x0e1,6/10/25 9:38
1160,Platform-ServiceFramework,1.0.0.1000,210696,New,,
1161,Platform-IntegrationService,2.0.0.2000,259947,Completed,s4o1e0y5,6/8/25 1:51
1162,APP-Analytics,4.0.0.4000,293748,In Review,,
1163,Platform-IntegrationService,2.0.0.2000,243909,New,,
1164,APP-Analytics,4.0.0.4000,239625,New,,
1165,APP-Analytics,4.0.0.4000,289246,Checked in,x5z9x5y8,3/2/25 12:07
1166,APP-UI-UX,3.0.0.3000,207335,Checked in,k6x6j6b2,5/8/25 21:20
1167,APP-UI-UX,3.0.0.3000,282791,Checked in,b8u9y3n9,5/22/25 11:35
1168,Platform-IntegrationService,2.0.0.2000,287485,Active,,
1169,APP-Analytics,4.0.0.4000,219352,Completed,w5p4o3m9,5/28/25 21:11
1170,Platform-ServiceFramework,1.0.0.1000,261275,In Review,,
1171,Platform-IntegrationService,2.0.0.2000,293064,New,,
1172,Platform-IntegrationService,2.0.0.2000,200783,In Review,,
1173,Platform-ServiceFramework,1.0.0.1000,239375,Checked in,z6o2a7g3,1/28/25 3:08
1174,Platform-ServiceFramework,1.0.0.1000,266723,Active,,
1175,APP-Analytics,4.0.0.4000,237354,In Review,,
1176,Platform-IntegrationService,2.0.0.2000,234829,Active,,
1177,Platform-IntegrationService,2.0.0.2000,269002,Checked in,j3k8f3m2,8/10/25 6:59
1178,Platform-IntegrationService,2.0.0.2000,283744,In Review,,
1179,APP-Analytics,4.0.0.4000,257123,Completed,m2g4z5p7,8/22/25 15:31
1180,Platform-IntegrationService,2.0.0.2000,267324,In Review,,
1181,Platform-IntegrationService,2.0.0.2000,208747,New,,
1182,Platform-IntegrationService,2.0.0.2000,286848,Checked in,g4k2n9z5,6/12/25 13:22
1183,Platform-IntegrationService,2.0.0.2000,219285,Completed,z4l2y8g6,8/21/25 10:13
1184,APP-Analytics,4.0.0.4000,219310,In Review,,
1185,Platform-ServiceFramework,1.0.0.1000,269960,Completed,q8n9k6g9,2/22/25 7:03
1186,APP-UI-UX,3.0.0.3000,224590,Checked in,f6f1f3b3,6/6/25 14:43
1187,Platform-ServiceFramework,1.0.0.1000,276218,In Review,,
1188,Platform-IntegrationService,2.0.0.2000,291770,New,,
1189,Platform-ServiceFramework,1.0.0.1000,219642,Completed,t3x7u8g5,2/23/25 6:53
1190,Platform-ServiceFramework,1.0.0.1000,200912,New,,
1191,APP-Analytics,4.0.0.4000,219468,Completed,r5v3s7r6,8/19/25 15:59
1192,Platform-ServiceFramework,1.0.0.1000,236832,Completed,t6o0p2g4,5/31/25 10:21
1193,APP-Analytics,4.0.0.4000,298689,Checked in,w2n1a0x2,1/28/25 15:05
1194,APP-Analytics,4.0.0.4000,237875,New,,
1195,Platform-ServiceFramework,1.0.0.1000,294850,In Review,,
1196,APP-UI-UX,3.0.0.3000,260601,In Review,,
1197,Platform-ServiceFramework,1.0.0.1000,279693,Completed,g2f9o1e6,9/6/25 17:23
1198,APP-Analytics,4.0.0.4000,283804,In Review,,
1199,APP-Analytics,4.0.0.4000,225562,In Review,,
1200,Platform-IntegrationService,2.0.0.2000,294149,Checked in,g3a7r6y1,4/5/25 21:17
1201,Platform-IntegrationService,2.0.0.2000,245867,Checked in,r1l7i6y0,6/28/25 13:13
1202,Platform-ServiceFramework,1.0.0.1000,274078,Checked in,w3b2a7d2,9/21/25 15:10
